name	cityid	lat	lon	google
Anan	1865309	33.916672	134.649994	https://www.google.co.jp/maps/@33.916672,134.649994,15z
Onomichi	1853992	34.416672	133.199997	https://www.google.co.jp/maps/@34.416672,133.199997,15z
Tokashiki	1850213	26.192499	127.358612	https://www.google.co.jp/maps/@26.192499,127.358612,15z
Hirara	1862505	24.799999	125.283333	https://www.google.co.jp/maps/@24.799999,125.283333,15z
Takatorichō	1850924	34.650002	135.133331	https://www.google.co.jp/maps/@34.650002,135.133331,15z
Iwada	2112551	35.183331	140.366669	https://www.google.co.jp/maps/@35.183331,140.366669,15z
Ayabe	1864873	35.299999	135.25	https://www.google.co.jp/maps/@35.299999,135.25,15z
Koori	2112144	37.833328	140.516663	https://www.google.co.jp/maps/@37.833328,140.516663,15z
Shiojiri	1852003	36.099998	137.966675	https://www.google.co.jp/maps/@36.099998,137.966675,15z
Hayashima	1862971	34.599998	133.833328	https://www.google.co.jp/maps/@34.599998,133.833328,15z
Kazuno	2130146	40.183609	140.787216	https://www.google.co.jp/maps/@40.183609,140.787216,15z
Honjo	1862198	36.23333	139.183334	https://www.google.co.jp/maps/@36.23333,139.183334,15z
Tsuruga	1849592	35.64547	136.055801	https://www.google.co.jp/maps/@35.64547,136.055801,15z
Kamiichi	1860563	36.700001	137.366669	https://www.google.co.jp/maps/@36.700001,137.366669,15z
Shirako	1851898	35.76667	139.633331	https://www.google.co.jp/maps/@35.76667,139.633331,15z
Takikawa	2127896	43.55278	141.906387	https://www.google.co.jp/maps/@43.55278,141.906387,15z
Haebaru	1894628	26.184719	127.722504	https://www.google.co.jp/maps/@26.184719,127.722504,15z
Yonabaru	1848281	26.201389	127.753891	https://www.google.co.jp/maps/@26.201389,127.753891,15z
Tsumuura	6418686	34.450001	134.001663	https://www.google.co.jp/maps/@34.450001,134.001663,15z
Fujinomiya	1864105	35.216671	138.616669	https://www.google.co.jp/maps/@35.216671,138.616669,15z
Ōmiya	1854128	35.216671	138.616669	https://www.google.co.jp/maps/@35.216671,138.616669,15z
Handa	1863209	34.883331	136.933334	https://www.google.co.jp/maps/@34.883331,136.933334,15z
Shiroi	2111018	35.799999	140.066666	https://www.google.co.jp/maps/@35.799999,140.066666,15z
Hirosaki	2130057	40.59306	140.472504	https://www.google.co.jp/maps/@40.59306,140.472504,15z
Ifukugata	1861903	32.51667	131.666672	https://www.google.co.jp/maps/@32.51667,131.666672,15z
Komatsushima	1858902	34	134.583328	https://www.google.co.jp/maps/@34,134.583328,15z
Kokubu	1858972	31.73333	130.766663	https://www.google.co.jp/maps/@31.73333,130.766663,15z
Kudamatsu	1858498	34	131.866669	https://www.google.co.jp/maps/@34,131.866669,15z
Tabuse	1851323	33.950001	132.066666	https://www.google.co.jp/maps/@33.950001,132.066666,15z
Kashihara	1859952	34.583328	135.616669	https://www.google.co.jp/maps/@34.583328,135.616669,15z
Yanai	1848550	33.966671	132.116669	https://www.google.co.jp/maps/@33.966671,132.116669,15z
Uno	1849274	34.48333	133.949997	https://www.google.co.jp/maps/@34.48333,133.949997,15z
Kitakata	1859319	37.650002	139.866669	https://www.google.co.jp/maps/@37.650002,139.866669,15z
Kitsuki	1859234	33.416672	131.616669	https://www.google.co.jp/maps/@33.416672,131.616669,15z
Maebashi-shi	1857843	36.391109	139.060837	https://www.google.co.jp/maps/@36.391109,139.060837,15z
Horonobe	2129984	45.016941	141.851395	https://www.google.co.jp/maps/@45.016941,141.851395,15z
Wakkanai	2127515	45.409439	141.673889	https://www.google.co.jp/maps/@45.409439,141.673889,15z
Ashoro	2130603	43.237221	143.542786	https://www.google.co.jp/maps/@43.237221,143.542786,15z
Tsurugasaki	1849588	34.883331	136.983337	https://www.google.co.jp/maps/@34.883331,136.983337,15z
Kunigami	1858373	27.41667	128.683334	https://www.google.co.jp/maps/@27.41667,128.683334,15z
Tsubetsu	2127635	43.703892	144.021103	https://www.google.co.jp/maps/@43.703892,144.021103,15z
Suita	1851483	34.761429	135.515671	https://www.google.co.jp/maps/@34.761429,135.515671,15z
Matsudo	1857553	35.783329	139.899994	https://www.google.co.jp/maps/@35.783329,139.899994,15z
Otsuki	1853564	35.599998	138.933334	https://www.google.co.jp/maps/@35.599998,138.933334,15z
Oiso	1854492	35.303059	139.30278	https://www.google.co.jp/maps/@35.303059,139.30278,15z
Hita	1862373	33.316669	130.933334	https://www.google.co.jp/maps/@33.316669,130.933334,15z
Mizunami	1856667	35.366669	137.25	https://www.google.co.jp/maps/@35.366669,137.25,15z
Toki	1850207	35.349998	137.183334	https://www.google.co.jp/maps/@35.349998,137.183334,15z
Kasamatsucho	1859998	35.366669	136.766663	https://www.google.co.jp/maps/@35.366669,136.766663,15z
Narashino	2111687	35.683331	140.033325	https://www.google.co.jp/maps/@35.683331,140.033325,15z
Hanno	1863183	35.85194	139.318054	https://www.google.co.jp/maps/@35.85194,139.318054,15z
Hasuda	1907123	35.975559	139.650833	https://www.google.co.jp/maps/@35.975559,139.650833,15z
Yakumo	2127478	42.253891	140.269165	https://www.google.co.jp/maps/@42.253891,140.269165,15z
Mibu	1857379	36.416672	139.800003	https://www.google.co.jp/maps/@36.416672,139.800003,15z
Kaminokawa	1860458	36.433331	139.916672	https://www.google.co.jp/maps/@36.433331,139.916672,15z
